Question,A,B,C,D,Answer
""The miracle never happen" is a line in the bad ending of which Ace Attorney game?",Phoenix Wright: Ace Attorney, Phoenix Wright: Ace Attorney Justice For All, Phoenix Wright: Ace Attorney Trials and Tribulations, Apollo Justice: Ace Attorney,B
"Which of these words is ""yes""?",No,No,Yes,No,C
"Which of these words is ""yes""?",No,No,No,Yes,D
"Which of these words is ""yes""?",Yes,No,No,No,A
"Which of these words is ""yes""?",No,Yes,No,No,B
"Which of these words is ""yes""?",No,No,Yes,No,C
"Which of these words is ""yes""?",No,No,No,Yes,D
"Which of these words is ""yes""?",Yes,No,No,No,A
"Which of these words is ""yes""?",No,Yes,No,No,B
"Which of these words is ""yes""?",No,No,Yes,No,C
"Which of these words is ""yes""?",No,No,No,Yes,D
"Which of these words is ""yes""?",Yes,No,No,No,A
"Which of these words is ""yes""?",No,Yes,No,No,B
"Which of these words is ""yes""?",No,No,Yes,No,C
"Which of these words is ""yes""?",No,No,No,Yes,D
"Which of these words is ""yes""?",Yes,No,No,No,A
